Note Name,MIDI Note,Velocity
A0,21,127
A0,21,127
A0,21,127
A0,21,127
A0,21,127
A0,21,127
A0,21,127
A0,21,127
A0,21,127
A0,21,127
A0,21,127
A0,21,127
A0,21,127
A0,21,127
A0,21,127
A0,21,127
A0,21,127
A#0,22,127
A#0,22,127
A#0,22,127
A#0,22,127
A#0,22,127
A#0,22,127
A#0,22,127
A#0,22,127
A#0,22,127
A#0,22,127
A#0,22,127
A#0,22,127
A#0,22,127
A#0,22,127
A#0,22,127
A#0,22,127
A#0,22,127
B0,23,127
B0,23,127
B0,23,127
B0,23,127
B0,23,127
B0,23,127
B0,23,127
B0,23,127
B0,23,127
B0,23,127
B0,23,127
B0,23,127
B0,23,127
B0,23,127
B0,23,127
B0,23,127
B0,23,127
C1,24,127
C1,24,127
C1,24,127
C1,24,127
C1,24,127
C1,24,127
C1,24,127
C1,24,127
C1,24,127
C1,24,127
C1,24,127
C1,24,127
C1,24,127
C1,24,127
C1,24,127
C1,24,127
C1,24,127
C#1,25,127
C#1,25,127
C#1,25,127
C#1,25,127
C#1,25,127
C#1,25,127
C#1,25,127
C#1,25,127
C#1,25,127
C#1,25,127
C#1,25,127
C#1,25,127
C#1,25,127
C#1,25,127
C#1,25,127
C#1,25,127
C#1,25,127
D1,26,127
D1,26,127
D1,26,127
D1,26,127
D1,26,127
D1,26,127
D1,26,127
D1,26,127
D1,26,127
D1,26,127
D1,26,127
D1,26,127
D1,26,127
D1,26,127
D1,26,127
D1,26,127
D1,26,127
D#1,27,127
D#1,27,127
D#1,27,127
D#1,27,127
D#1,27,127
D#1,27,127
D#1,27,127
D#1,27,127
D#1,27,127
D#1,27,127
D#1,27,127
D#1,27,127
D#1,27,127
D#1,27,127
D#1,27,127
D#1,27,127
D#1,27,127
E1,28,127
E1,28,127
E1,28,127
E1,28,127
E1,28,127
E1,28,127
E1,28,127
E1,28,127
E1,28,127
E1,28,127
E1,28,127
E1,28,127
E1,28,127
E1,28,127
E1,28,127
E1,28,127
E1,28,127
F1,29,127
F1,29,127
F1,29,127
F1,29,127
F1,29,127
F1,29,127
F1,29,127
F1,29,127
F1,29,127
F1,29,127
F1,29,127
F1,29,127
F1,29,127
F1,29,127
F1,29,127
F1,29,127
F1,29,127
F#1,30,127
F#1,30,127
F#1,30,127
F#1,30,127
F#1,30,127
F#1,30,127
F#1,30,127
F#1,30,127
F#1,30,127
F#1,30,127
F#1,30,127
F#1,30,127
F#1,30,127
F#1,30,127
F#1,30,127
F#1,30,127
F#1,30,127
G1,31,127
G1,31,127
G1,31,127
G1,31,127
G1,31,127
G1,31,127
G1,31,127
G1,31,127
G1,31,127
G1,31,127
G1,31,127
G1,31,127
G1,31,127
G1,31,127
G1,31,127
G1,31,127
G1,31,127
G#1,32,127
G#1,32,127
G#1,32,127
G#1,32,127
G#1,32,127
G#1,32,127
G#1,32,127
G#1,32,127
G#1,32,127
G#1,32,127
G#1,32,127
G#1,32,127
G#1,32,127
G#1,32,127
G#1,32,127
G#1,32,127
G#1,32,127
A1,33,127
A1,33,127
A1,33,127
A1,33,127
A1,33,127
A1,33,127
A1,33,127
A1,33,127
A1,33,127
A1,33,127
A1,33,127
A1,33,127
A1,33,127
A1,33,127
A1,33,127
A1,33,127
A1,33,127
A#1,34,127
A#1,34,127
A#1,34,127
A#1,34,127
A#1,34,127
A#1,34,127
A#1,34,127
A#1,34,127
A#1,34,127
A#1,34,127
A#1,34,127
A#1,34,127
A#1,34,127
A#1,34,127
A#1,34,127
A#1,34,127
A#1,34,127
B1,35,127
B1,35,127
B1,35,127
B1,35,127
B1,35,127
B1,35,127
B1,35,127
B1,35,127
B1,35,127
B1,35,127
B1,35,127
B1,35,127
B1,35,127
B1,35,127
B1,35,127
B1,35,127
B1,35,127
C2,36,127
C2,36,127
C2,36,127
C2,36,127
C2,36,127
C2,36,127
C2,36,127
C2,36,127
C2,36,127
C2,36,127
C2,36,127
C2,36,127
C2,36,127
C2,36,127
C2,36,127
C2,36,127
C2,36,127
C#2,37,127
C#2,37,127
C#2,37,127
C#2,37,127
C#2,37,127
C#2,37,127
C#2,37,127
C#2,37,127
C#2,37,127
C#2,37,127
C#2,37,127
C#2,37,127
C#2,37,127
C#2,37,127
C#2,37,127
C#2,37,127
C#2,37,127
D2,38,127
D2,38,127
D2,38,127
D2,38,127
D2,38,127
D2,38,127
D2,38,127
D2,38,127
D2,38,127
D2,38,127
D2,38,127
D2,38,127
D2,38,127
D2,38,127
D2,38,127
D2,38,127
D2,38,127
D#2,39,127
D#2,39,127
D#2,39,127
D#2,39,127
D#2,39,127
D#2,39,127
D#2,39,127
D#2,39,127
D#2,39,127
D#2,39,127
D#2,39,127
D#2,39,127
D#2,39,127
D#2,39,127
D#2,39,127
D#2,39,127
D#2,39,127
E2,40,127
E2,40,127
E2,40,127
E2,40,127
E2,40,127
E2,40,127
E2,40,127
E2,40,127
E2,40,127
E2,40,127
E2,40,127
E2,40,127
E2,40,127
E2,40,127
E2,40,127
E2,40,127
E2,40,127
F2,41,127
F2,41,127
F2,41,127
F2,41,127
F2,41,127
F2,41,127
F2,41,127
F2,41,127
F2,41,127
F2,41,127
F2,41,127
F2,41,127
F2,41,127
F2,41,127
F2,41,127
F2,41,127
F2,41,127
F#2,42,127
F#2,42,127
F#2,42,127
F#2,42,127
F#2,42,127
F#2,42,127
F#2,42,127
F#2,42,127
F#2,42,127
F#2,42,127
F#2,42,127
F#2,42,127
F#2,42,127
F#2,42,127
F#2,42,127
F#2,42,127
F#2,42,127
G2,43,127
G2,43,127
G2,43,127
G2,43,127
G2,43,127
G2,43,127
G2,43,127
G2,43,127
G2,43,127
G2,43,127
G2,43,127
G2,43,127
G2,43,127
G2,43,127
G2,43,127
G2,43,127
G2,43,127
G#2,44,127
G#2,44,127
G#2,44,127
G#2,44,127
G#2,44,127
G#2,44,127
G#2,44,127
G#2,44,127
G#2,44,127
G#2,44,127
G#2,44,127
G#2,44,127
G#2,44,127
G#2,44,127
G#2,44,127
G#2,44,127
G#2,44,127
A2,45,127
A2,45,127
A2,45,127
A2,45,127
A2,45,127
A2,45,127
A2,45,127
A2,45,127
A2,45,127
A2,45,127
A2,45,127
A2,45,127
A2,45,127
A2,45,127
A2,45,127
A2,45,127
A2,45,127
A#2,46,127
A#2,46,127
A#2,46,127
A#2,46,127
A#2,46,127
A#2,46,127
A#2,46,127
A#2,46,127
A#2,46,127
A#2,46,127
A#2,46,127
A#2,46,127
A#2,46,127
A#2,46,127
A#2,46,127
A#2,46,127
A#2,46,127
B2,47,127
B2,47,127
B2,47,127
B2,47,127
B2,47,127
B2,47,127
B2,47,127
B2,47,127
B2,47,127
B2,47,127
B2,47,127
B2,47,127
B2,47,127
B2,47,127
B2,47,127
B2,47,127
B2,47,127
C3,48,127
C3,48,127
C3,48,127
C3,48,127
C3,48,127
C3,48,127
C3,48,127
C3,48,127
C3,48,127
C3,48,127
C3,48,127
C3,48,127
C3,48,127
C3,48,127
C3,48,127
C3,48,127
C3,48,127
C#3,49,127
C#3,49,127
C#3,49,127
C#3,49,127
C#3,49,127
C#3,49,127
C#3,49,127
C#3,49,127
C#3,49,127
C#3,49,127
C#3,49,127
C#3,49,127
C#3,49,127
C#3,49,127
C#3,49,127
C#3,49,127
C#3,49,127
D3,50,127
D3,50,127
D3,50,127
D3,50,127
D3,50,127
D3,50,127
D3,50,127
D3,50,127
D3,50,127
D3,50,127
D3,50,127
D3,50,127
D3,50,127
D3,50,127
D3,50,127
D3,50,127
D3,50,127
D#3,51,127
D#3,51,127
D#3,51,127
D#3,51,127
D#3,51,127
D#3,51,127
D#3,51,127
D#3,51,127
D#3,51,127
D#3,51,127
D#3,51,127
D#3,51,127
D#3,51,127
D#3,51,127
D#3,51,127
D#3,51,127
D#3,51,127
E3,52,127
E3,52,127
E3,52,127
E3,52,127
E3,52,127
E3,52,127
E3,52,127
E3,52,127
E3,52,127
E3,52,127
E3,52,127
E3,52,127
E3,52,127
E3,52,127
E3,52,127
E3,52,127
E3,52,127
F3,53,127
F3,53,127
F3,53,127
F3,53,127
F3,53,127
F3,53,127
F3,53,127
F3,53,127
F3,53,127
F3,53,127
F3,53,127
F3,53,127
F3,53,127
F3,53,127
F3,53,127
F3,53,127
F3,53,127
F#3,54,127
F#3,54,127
F#3,54,127
F#3,54,127
F#3,54,127
F#3,54,127
F#3,54,127
F#3,54,127
F#3,54,127
F#3,54,127
F#3,54,127
F#3,54,127
F#3,54,127
F#3,54,127
F#3,54,127
F#3,54,127
F#3,54,127
G3,55,127
G3,55,127
G3,55,127
G3,55,127
G3,55,127
G3,55,127
G3,55,127
G3,55,127
G3,55,127
G3,55,127
G3,55,127
G3,55,127
G3,55,127
G3,55,127
G3,55,127
G3,55,127
